अ	[सं.] ना.
अगलबगल	क्रि.वि. [(द्वि.) बगल]
अगलीबगली	क्रियाविशेषण
अगलो	नाम
अगल्चो	विशेषण
अगस्त	ना. [अङ्.]
अगस्ति	ना. [सं.]
अगस्ति गोत्र	ना.
अगस्ति तारो	ना.
अगस्त्य	ना.
अगस्त्य गीता	नाम [सं.]
अगस्त्योदय	नाम [सं.]
अगहन	ना. [सं. अग्रहायण]
अगहनी	ना.
अगहनी धान	नाम [गन्गा.]
अगा	विशेषण
अगाइनु	अ.क्रि.
अगाउनु	अ.क्रि. [सं. आघ्राण]
अगाडि	क्रि.वि. [सं. अग्र+आडि]
अगाडी	ना.
अगात्र	विशेषण [सं.]
अगाध	वि. [सं.]
अगाध गाम्भीर्य	नाम [सं.]
अगाध शक्ति	नाम [सं.]
अगार	[था.]
अगावै	क्रि.वि. [अगि+आवै]
अगास	नाम [सं. आकाश]
अगासिनु	सकर्मक क्रिया [अगासि+नु]
अगि	ना. यो. [सं. अग्र]
अगि अगि	क्रि.वि.
अगिचालो	नाम
अगिन	क्रियाविशेषण
अगिन्नर पछिन्नर	ना. [डो.]
अगिन्नरो	नाम
अगिन्नो	क्रियाविशेषण [बहु./ति. अगिन्ना, स्त्री. अगिन्नी]
अगिया खर	नाम
अगियारी	नाम
अगिल्तिर	क्रि.वि. [अगिल्लो+तिर]
अगिल्ली	विशेषण
अगिल्लो	वि. [अगि इल्लो]
अगिसरा	वि. [सं. अग्रसर]
अगुण ब्रह्म	विशेषण [सं.]
अगुणित	विशेषण [सं.]
अगुणी	विशेषण [सं.]
अगुप्त	विशेषण [सं.]
अगुरु	विशेषण [सं.]
अगुरुत्वाकर्षी	विशेषण [सं.]
अगुल्टो	ना. [आगो+उल्टो]
अगुवा	ना. [अगि+उवा]
अगुवाइ	ना.
अगुवाइगिरी	ना.
अगूढ	विशेषण [अ+गूढ]
अगूढ गन्ध	नाम [सं.]
अगेउल	नाम
अगेटो	नाम
